neighborhood,ucrDescription,number
LONGFELLOW,Rape,12.0
LONGFELLOW,Robbery,47.0
LORING PARK,Aggravated Assault,80.0
LORING PARK,Arson,2.0
LORING PARK,Auto Theft,69.0
LORING PARK,Burglary,68.0
LORING PARK,Homicide,0.0
LORING PARK,Larceny,598.0
LORING PARK,Rape,27.0
LORING PARK,Robbery,55.0
LOWRY HILL,Aggravated Assault,5.0
LOWRY HILL,Arson,0.0
LOWRY HILL,Auto Theft,31.0
LOWRY HILL,Burglary,45.0
LOWRY HILL,Homicide,0.0
LOWRY HILL,Larceny,190.0
LOWRY HILL,Rape,3.0
LOWRY HILL,Robbery,6.0
LOWRY HILL EAST,Aggravated Assault,52.0
LOWRY HILL EAST,Arson,1.0
LOWRY HILL EAST,Auto Theft,91.0
LOWRY HILL EAST,Burglary,102.0
LOWRY HILL EAST,Homicide,0.0
LOWRY HILL EAST,Larceny,864.0
LOWRY HILL EAST,Rape,25.0
LOWRY HILL EAST,Robbery,50.0
LYNDALE,Aggravated Assault,45.0
LYNDALE,Arson,2.0
LYNDALE,Auto Theft,84.0
LYNDALE,Burglary,126.0
LYNDALE,Homicide,1.0
LYNDALE,Larceny,381.0
LYNDALE,Rape,12.0
LYNDALE,Robbery,40.0
LYNNHURST,Aggravated Assault,3.0
LYNNHURST,Arson,2.0
LYNNHURST,Auto Theft,15.0
LYNNHURST,Burglary,55.0
LYNNHURST,Homicide,0.0
LYNNHURST,Larceny,138.0
LYNNHURST,Rape,2.0
LYNNHURST,Robbery,1.0
MARCY HOLMES,Aggravated Assault,53.0
MARCY HOLMES,Arson,4.0
MARCY HOLMES,Auto Theft,158.0
MARCY HOLMES,Burglary,184.0
MARCY HOLMES,Homicide,2.0
MARCY HOLMES,Larceny,794.0
MARCY HOLMES,Rape,21.0
MARCY HOLMES,Robbery,69.0
MARSHALL TERRACE,Aggravated Assault,7.0
MARSHALL TERRACE,Arson,0.0
MARSHALL TERRACE,Auto Theft,18.0
MARSHALL TERRACE,Burglary,25.0
MARSHALL TERRACE,Homicide,1.0
MARSHALL TERRACE,Larceny,78.0
MARSHALL TERRACE,Rape,2.0
MARSHALL TERRACE,Robbery,2.0
MCKINLEY,Aggravated Assault,85.0
MCKINLEY,Arson,6.0
MCKINLEY,Auto Theft,71.0
MCKINLEY,Burglary,72.0
MCKINLEY,Homicide,1.0
MCKINLEY,Larceny,106.0
MCKINLEY,Rape,10.0
MCKINLEY,Robbery,44.0
MID - CITY INDUSTRIAL,Aggravated Assault,5.0
MID - CITY INDUSTRIAL,Arson,0.0
MID - CITY INDUSTRIAL,Auto Theft,13.0
MID - CITY INDUSTRIAL,Burglary,35.0
MID - CITY INDUSTRIAL,Homicide,0.0
MID - CITY INDUSTRIAL,Larceny,124.0
MID - CITY INDUSTRIAL,Rape,2.0
MID - CITY INDUSTRIAL,Robbery,2.0
MIDTOWN PHILLIPS,Aggravated Assault,85.0
MIDTOWN PHILLIPS,Arson,1.0
MIDTOWN PHILLIPS,Auto Theft,93.0
MIDTOWN PHILLIPS,Burglary,71.0
MIDTOWN PHILLIPS,Homicide,1.0
MIDTOWN PHILLIPS,Larceny,299.0
MIDTOWN PHILLIPS,Rape,25.0
MIDTOWN PHILLIPS,Robbery,61.0
MINNEHAHA,Aggravated Assault,8.0
MINNEHAHA,Arson,1.0
MINNEHAHA,Auto Theft,17.0
MINNEHAHA,Burglary,51.0
MINNEHAHA,Homicide,0.0
MINNEHAHA,Larceny,122.0
MINNEHAHA,Rape,2.0
MINNEHAHA,Robbery,12.0
MORRIS PARK,Aggravated Assault,8.0
MORRIS PARK,Arson,0.0
MORRIS PARK,Auto Theft,10.0
MORRIS PARK,Burglary,42.0
MORRIS PARK,Homicide,0.0
MORRIS PARK,Larceny,44.0
MORRIS PARK,Rape,4.0
MORRIS PARK,Robbery,2.0
NEAR - NORTH,Aggravated Assault,181.0
NEAR - NORTH,Arson,12.0
NEAR - NORTH,Auto Theft,110.0
NEAR - NORTH,Burglary,107.0
NEAR - NORTH,Homicide,4.0
NEAR - NORTH,Larceny,493.0
NEAR - NORTH,Rape,30.0
NEAR - NORTH,Robbery,71.0
NICOLLET ISLAND - EAST BANK,Aggravated Assault,10.0
NICOLLET ISLAND - EAST BANK,Arson,0.0
NICOLLET ISLAND - EAST BANK,Auto Theft,6.0
NICOLLET ISLAND - EAST BANK,Burglary,13.0
NICOLLET ISLAND - EAST BANK,Homicide,0.0
NICOLLET ISLAND - EAST BANK,Larceny,154.0
NICOLLET ISLAND - EAST BANK,Rape,5.0
NICOLLET ISLAND - EAST BANK,Robbery,3.0
NORTH LOOP,Aggravated Assault,41.0
NORTH LOOP,Arson,1.0
NORTH LOOP,Auto Theft,44.0
NORTH LOOP,Burglary,77.0
NORTH LOOP,Homicide,0.0
NORTH LOOP,Larceny,591.0
NORTH LOOP,Rape,16.0
NORTH LOOP,Robbery,38.0
NORTHEAST PARK,Aggravated Assault,7.0
NORTHEAST PARK,Arson,2.0
NORTHEAST PARK,Auto Theft,11.0
NORTHEAST PARK,Burglary,23.0
NORTHEAST PARK,Homicide,1.0
NORTHEAST PARK,Larceny,248.0
NORTHEAST PARK,Rape,3.0
NORTHEAST PARK,Robbery,6.0
NORTHROP,Aggravated Assault,12.0
NORTHROP,Arson,1.0
NORTHROP,Auto Theft,19.0
NORTHROP,Burglary,95.0
NORTHROP,Homicide,0.0
NORTHROP,Larceny,146.0
NORTHROP,Rape,6.0
NORTHROP,Robbery,10.0
PAGE,Aggravated Assault,1.0
PAGE,Arson,0.0
PAGE,Auto Theft,5.0
PAGE,Burglary,17.0
PAGE,Homicide,0.0
PAGE,Larceny,36.0
PAGE,Rape,2.0
PAGE,Robbery,0.0
PHILLIPS WEST,Aggravated Assault,61.0
PHILLIPS WEST,Arson,2.0
PHILLIPS WEST,Auto Theft,77.0
PHILLIPS WEST,Burglary,44.0
PHILLIPS WEST,Homicide,0.0
PHILLIPS WEST,Larceny,226.0
PHILLIPS WEST,Rape,13.0
PHILLIPS WEST,Robbery,50.0
POWDERHORN PARK,Aggravated Assault,86.0
POWDERHORN PARK,Arson,2.0
POWDERHORN PARK,Auto Theft,96.0
POWDERHORN PARK,Burglary,212.0
POWDERHORN PARK,Homicide,0.0
POWDERHORN PARK,Larceny,310.0
POWDERHORN PARK,Rape,14.0
POWDERHORN PARK,Robbery,71.0
PROSPECT PARK - EAST RIVER ROAD,Aggravated Assault,22.0
PROSPECT PARK - EAST RIVER ROAD,Arson,0.0
PROSPECT PARK - EAST RIVER ROAD,Auto Theft,69.0
PROSPECT PARK - EAST RIVER ROAD,Burglary,98.0
PROSPECT PARK - EAST RIVER ROAD,Homicide,1.0
PROSPECT PARK - EAST RIVER ROAD,Larceny,528.0
PROSPECT PARK - EAST RIVER ROAD,Rape,15.0
PROSPECT PARK - EAST RIVER ROAD,Robbery,24.0
REGINA,Aggravated Assault,9.0
REGINA,Arson,2.0
REGINA,Auto Theft,23.0
REGINA,Burglary,43.0
REGINA,Homicide,1.0
REGINA,Larceny,33.0
REGINA,Rape,0.0
REGINA,Robbery,6.0
SEWARD,Aggravated Assault,55.0
SEWARD,Arson,3.0
SEWARD,Auto Theft,113.0
SEWARD,Burglary,133.0
SEWARD,Homicide,1.0
SEWARD,Larceny,503.0
SEWARD,Rape,8.0
SEWARD,Robbery,44.0
SHERIDAN,Aggravated Assault,9.0
SHERIDAN,Arson,0.0
SHERIDAN,Auto Theft,24.0
SHERIDAN,Burglary,33.0
SHERIDAN,Homicide,0.0
SHERIDAN,Larceny,113.0
SHERIDAN,Rape,2.0
SHERIDAN,Robbery,10.0
SHINGLE CREEK,Aggravated Assault,24.0
SHINGLE CREEK,Arson,1.0
SHINGLE CREEK,Auto Theft,60.0
SHINGLE CREEK,Burglary,40.0
SHINGLE CREEK,Homicide,1.0
SHINGLE CREEK,Larceny,73.0
SHINGLE CREEK,Rape,3.0
SHINGLE CREEK,Robbery,11.0
ST. ANTHONY EAST,Aggravated Assault,15.0
ST. ANTHONY EAST,Arson,0.0
ST. ANTHONY EAST,Auto Theft,9.0
ST. ANTHONY EAST,Burglary,36.0
ST. ANTHONY EAST,Homicide,0.0
ST. ANTHONY EAST,Larceny,50.0
ST. ANTHONY EAST,Rape,4.0
ST. ANTHONY EAST,Robbery,3.0
ST. ANTHONY WEST,Aggravated Assault,8.0
ST. ANTHONY WEST,Arson,0.0
ST. ANTHONY WEST,Auto Theft,26.0
ST. ANTHONY WEST,Burglary,15.0
ST. ANTHONY WEST,Homicide,0.0
ST. ANTHONY WEST,Larceny,108.0
ST. ANTHONY WEST,Rape,7.0
ST. ANTHONY WEST,Robbery,5.0
